cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
56,125.977,20,37.1205,28.1205,58.3925,54.3925,0,"TRACKER_DEGRADED",15.1205,6.1205,4,2,1,6,4,5,"IDLE","none",2.43548,2.0855,0.319125,0,8,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
57,125.205,20,37.1381,28.1381,57.8004,53.8004,0,"TRACKER_DEGRADED",15.1381,6.13815,4,2,1,6,4,5,"IDLE","none",2.31877,1.96739,0.148945,0,5,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
58,124.297,20,37.1558,28.1558,57.1063,53.1063,0,"TRACKER_DEGRADED",15.1558,6.15577,4,2,1,6,4,5,"IDLE","none",2.21167,1.85929,0.176837,0,6,"STANDBY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
59,123.275,20,40.1745,31.1745,54.0756,50.0756,0,"CORRECTING",18.1745,6.17448,4,2,1,6,4,5,"IDLE","none",2.11439,1.78387,0.828651,1,22,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
60,122.165,20,40.1936,31.1936,53.2282,49.2282,0,"CORRECTING",18.1936,6.19364,4,2,1,6,4,5,"IDLE","none",2.02658,1.71246,0.63589,1,20,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
61,120.995,20,47.2114,38.2114,47.0877,43.0877,0,"TRACKER_DEGRADED",15.2114,6.21144,4,12,1,6,4,5,"IDLE","none",1.9477,1.6337,0.397602,0,10,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
62,119.798,20,40.2299,31.2299,51.4263,47.4263,0,"CORRECTING",18.2299,6.22989,4,2,1,6,4,5,"IDLE","none",1.87747,1.57683,0.550202,1,14,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
63,118.607,20,40.2489,31.2489,50.5185,46.5185,0,"CORRECTING",18.2489,6.24892,4,2,1,6,4,5,"IDLE","none",1.81538,1.53465,0.86478,1,23,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
64,117.454,20,40.2688,31.2688,49.6388,45.6388,0,"CORRECTING",18.2688,6.26877,4,2,1,6,4,5,"IDLE","none",1.76073,1.49957,0.872243,1,22,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
65,116.37,20,40.2844,31.2844,48.814,44.814,0,"CORRECTING",18.2844,6.28435,4,2,1,6,4,5,"IDLE","none",1.70387,1.4596,0.793895,1,21,"READY",0,"IDLE",0,0,"dataset_2",3,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
