cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,active_stage,active_stage_n,roi_count,processing_queue
66,115.383,20,55.7825,42.7825,39.4506,31.4506,1,"CORRECTING",18.7825,15,2,1,6,8,5,"THROTTLED","none",4.08492,3.85727,0.792206,1,23,"DOWNLINK",41505752,"READY",3,1024,14,1
67,114.519,20,54.8477,41.8477,39.5035,31.5035,1,"CORRECTING",18.8477,4,12,1,6,8,5,"IDLE","none",4.09609,3.88539,0.959947,1,24,"STANDBY",41505752,"READY",3,1024,14,1
68,113.797,20,41.9124,28.9124,48.6633,40.6633,1,"TRACKER_DEGRADED",15.9124,4,2,1,6,8,5,"IDLE","none",4.10772,3.89679,0.391447,0,12,"STANDBY",41505752,"READY",3,1024,14,1
69,113.231,20,41.9774,28.9774,48.1904,40.1904,1,"TRACKER_DEGRADED",15.9774,4,2,1,6,8,5,"IDLE","none",4.11981,3.90898,0.219629,0,13,"STANDBY",41505752,"READY",3,1024,14,1
70,112.831,20,45.0431,32.0431,45.5907,37.5907,1,"CORRECTING",19.0431,4,2,1,6,8,5,"IDLE","none",4.13235,3.93137,0.599993,1,15,"STANDBY",41505752,"READY",3,1024,14,1
71,112.597,20,42.1085,29.1085,47.6165,39.6165,1,"TRACKER_DEGRADED",16.1085,4,2,1,6,8,5,"IDLE","none",4.14534,3.94408,0.357831,0,11,"STANDBY",41505752,"READY",3,1024,14,1
72,112.527,20,42.1745,29.1745,47.514,39.514,1,"TRACKER_DEGRADED",16.1745,4,2,1,6,8,5,"IDLE","none",4.15878,3.958,0.311774,0,8,"STANDBY",41505752,"READY",3,1024,14,1
73,112.608,20,52.24,39.24,40.0262,32.0262,1,"TRACKER_DEGRADED",16.24,4,12,1,6,8,5,"IDLE","none",4.17266,3.9713,0.431341,0,11,"STANDBY",41505752,"READY",3,1024,14,1
74,112.826,20,42.3067,29.3067,47.6398,39.6398,1,"TRACKER_DEGRADED",16.3067,4,2,1,6,8,5,"IDLE","none",4.18697,3.9863,0.204059,0,10,"STANDBY",41505752,"READY",3,1024,14,1
75,113.16,20,42.3729,29.3729,47.84,39.84,1,"TRACKER_DEGRADED",16.3729,4,2,1,6,8,5,"IDLE","none",4.20171,4.0011,0.0966948,0,11,"STANDBY",41505752,"READY",3,1024,14,1
76,113.583,20,45.4408,32.4408,45.8563,37.8563,1,"CORRECTING",19.4408,4,2,1,6,8,5,"IDLE","none",4.21688,4.03144,0.920574,1,24,"STANDBY",41505752,"READY",3,1024,14,1
77,114.067,20,45.5082,32.5082,46.169,38.169,1,"CORRECTING",19.5082,4,2,1,6,8,5,"IDLE","none",4.23248,4.05573,0.606567,1,20,"STANDBY",41505752,"READY",3,1024,14,1
78,114.582,20,45.5765,32.5765,46.5042,38.5042,1,"CORRECTING",19.5765,4,2,1,6,8,5,"IDLE","none",4.24849,4.0826,0.782308,1,20,"STANDBY",41505752,"READY",3,1024,14,1
79,115.097,20,52.6447,39.6447,41.5894,33.5894,1,"TRACKER_DEGRADED",16.6447,4,12,1,6,8,5,"IDLE","none",4.26491,4.09965,0.292497,0,23,"STANDBY",41505752,"READY",3,1024,14,1
